timestamp,tel_pezzi_prodotti,tel_tempo_attivo,tel_tempo_fermo,tel_velocità_nominale,disponibilità,efficienza
2020-04-20 07:00:00,1042.1581483558816,2410,1190,0.46462020000000764,0.6694,0.9307
2020-04-20 08:00:00,1130.816942396465,2593,1007,0.46462020000000764,0.7203,0.9386
2020-04-20 09:00:00,791.7947658646777,1845,1755,0.46462020000000764,0.5125,0.9237
2020-04-20 10:00:00,1170.964169872204,2691,909,0.46462020000000764,0.7475,0.9366
2020-04-20 11:00:00,797.9284308501701,1851,1745,0.46462020000000764,0.5147,0.9278
2020-04-20 12:00:00,1317.0559398941334,3030,570,0.46462020000000764,0.8417,0.9355
2020-04-20 13:00:00,741.0530409246389,1702,1898,0.46462020000000764,0.4728,0.9371
2020-04-20 14:00:00,572.6572525409338,1317,2283,0.46462020000000764,0.3658,0.9359
2020-04-20 15:00:00,1403.4842410329804,3235,365,0.46462020000000764,0.8986,0.9338
2020-04-20 16:00:00,1041.042892612609,2394,1206,0.46462020000000764,0.665,0.9359
2020-04-20 17:00:00,1227.8395086895102,2818,782,0.46462020000000753,0.7828,0.9378
2020-04-20 18:00:00,475.076816773745,1119,2477,0.46462020000000764,0.3112,0.9138
2020-04-20 19:00:00,834.1725977510026,1897,1703,0.46462020000000714,0.5269,0.9464
2020-04-20 20:00:00,1203.8628204381268,2750,850,0.46462020000000764,0.7639,0.9422
2020-04-20 21:00:00,1149.2176771656293,2647,953,0.46462020000000764,0.7353,0.9344
2020-04-20 22:00:00,740.4946882454911,1803,1797,0.46462020000000764,0.5008,0.884
2020-04-20 23:00:00,1171.5210915211378,2776,824,0.46462020000000764,0.7711,0.9083
2020-04-21 00:00:00,453.8877196287052,1073,2527,0.46462020000000764,0.2981,0.9104
2020-04-21 04:00:00,447.7540546432132,1110,2486,0.46462020000000764,0.3087,0.8682
2020-04-21 05:00:00,1175.424240373884,2788,812,0.46462020000000764,0.7744,0.9074
2020-04-21 06:00:00,783.43023628129,1872,1728,0.46462020000000764,0.52,0.9007
2020-04-21 07:00:00,756.6653715021098,1798,1802,0.46462020000000764,0.4994,0.9058
2020-04-21 08:00:00,983.6091639465378,2337,1263,0.46462020000000764,0.6492,0.9059
2020-04-21 09:00:00,576.5599785892972,1412,2188,0.46462020000000764,0.3922,0.8788
2020-04-21 10:00:00,281.0311034124003,726,2849,0.4646202000000076,0.2031,0.8331
2020-04-21 11:00:00,904.9873928232782,2170,1426,0.46462020000000764,0.6034,0.8976
2020-04-21 12:00:00,1181.5573478151316,2804,796,0.4646202000000063,0.7789,0.9069
2020-04-21 13:00:00,172.29887683582209,408,3192,0.46462020000000764,0.1133,0.9089
2020-04-21 14:00:00,822.4624170928489,1947,1653,0.46462020000000764,0.5408,0.9092
2020-04-21 15:00:00,1170.9628364122289,2780,820,0.46462020000000603,0.7722,0.9066
2020-04-21 16:00:00,452.77208289686973,1091,2509,0.4646202000000073,0.3031,0.8932
2020-04-21 17:00:00,809.636604349058,1940,1660,0.46462020000000553,0.5389,0.8982
2020-04-21 18:00:00,539.2009462261612,1290,2306,0.46462020000000764,0.3587,0.8996
2020-04-21 19:00:00,1165.388457992487,2649,951,0.4646202000000075,0.7358,0.9469
2020-04-21 20:00:00,1112.9736682356659,2552,1048,0.46462020000000764,0.7089,0.9387
2020-04-21 21:00:00,804.6196214908539,1861,1739,0.46462020000000764,0.5169,0.9306
2020-04-21 22:00:00,1183.23136510333,2726,874,0.46462020000000764,0.7572,0.9342
2020-04-21 23:00:00,1294.1941078126501,2982,618,0.46462020000000764,0.8283,0.9341
2020-04-22 00:00:00,533.067476381153,1233,2367,0.46462020000000764,0.3425,0.9305
2020-04-22 04:00:00,317.83299575511006,761,2835,0.46462020000000764,0.2116,0.8989
2020-04-22 05:00:00,852.573337166369,1974,1626,0.46462020000000764,0.5483,0.9296
2020-04-22 06:00:00,93.67709642015994,219,3381,0.46462020000000764,0.0608,0.9206
2020-04-22 07:00:00,0.0,0,3600,0.46462020000000764,0.0,
2020-04-22 08:00:00,400.35814339501155,1000,2600,0.46462020000000764,0.2778,0.8617
2020-04-22 09:00:00,547.5650390665613,1275,2325,0.46462020000000764,0.3542,0.9243
2020-04-22 10:00:00,697.560013695668,1611,1989,0.46462020000000764,0.4475,0.9319
2020-04-22 11:00:00,587.7117601062847,1380,2216,0.46462020000000687,0.3838,0.9166
