timestamp,allarme_id,allarme_bloccante,allarme_durata_media,allarme_tf_medio,allarme_numero
2020-04-10 12:00:00,2,,8.166666666666666,-1.0,6
2020-04-10 12:00:00,4,,25.0,-1.0,4
2020-04-10 12:00:00,4,True,84.66666666666667,236.33333333333334,3
2020-04-10 12:00:00,22,,13.0,-1.0,1
2020-04-10 12:00:00,38,,1.0,-1.0,1
2020-04-10 12:00:00,40,True,9.0,9.0,1
2020-04-10 12:00:00,66,,349.0,-1.0,1
2020-04-10 12:00:00,68,,4.0,-1.0,1
2020-04-10 12:00:00,68,True,7.0,7.0,1
2020-04-10 12:00:00,83,True,100.0,104.0,1
2020-04-10 12:00:00,85,,15.0,-1.0,1
2020-04-10 12:00:00,97,True,59.4,60.4,5
2020-04-10 12:00:00,107,True,38.25,38.25,4
2020-04-10 12:00:00,110,,50.0,-1.0,3
2020-04-10 12:00:00,149,,8.25,-1.0,4
2020-04-10 13:00:00,0,,224.0,-1.0,14
2020-04-10 13:00:00,2,,10.0,-1.0,2
2020-04-10 13:00:00,4,,24.0,-1.0,4
2020-04-10 13:00:00,4,True,190.0,195.0,1
2020-04-10 13:00:00,7,,13.0,-1.0,1
2020-04-10 13:00:00,8,,13.0,-1.0,1
2020-04-10 13:00:00,9,True,1.0,15.0,1
2020-04-10 13:00:00,97,True,21.0,22.0,2
2020-04-10 13:00:00,107,True,35.666666666666664,35.666666666666664,6
2020-04-10 13:00:00,110,,69.33333333333333,-1.0,3
2020-04-10 13:00:00,124,True,1.0,141.0,1
2020-04-10 13:00:00,127,True,1.0,141.0,1
2020-04-10 13:00:00,149,,17.0,-1.0,1
2020-04-10 13:00:00,154,,13.0,-1.0,1
2020-04-10 13:00:00,155,,13.0,-1.0,1
2020-04-10 13:00:00,156,True,1.0,15.0,1
2020-04-10 14:00:00,0,,246.55555555555554,-1.0,9
2020-04-10 14:00:00,2,,143.0,-1.0,2
2020-04-10 14:00:00,4,,24.333333333333332,-1.0,3
2020-04-10 14:00:00,38,,1.0,-1.0,1
2020-04-10 14:00:00,67,True,898.0,899.0,1
2020-04-10 14:00:00,69,True,8.0,9.0,2
2020-04-10 14:00:00,70,True,7.0,8.0,1
2020-04-10 14:00:00,71,True,7.0,8.0,1
2020-04-10 14:00:00,72,True,7.0,8.0,1
2020-04-10 14:00:00,83,True,105.0,118.0,1
2020-04-10 14:00:00,102,True,6.0,7.0,1
2020-04-10 14:00:00,107,True,23.5,23.5,2
2020-04-10 14:00:00,110,,45.0,-1.0,1
2020-04-10 15:00:00,0,,116.66666666666667,-1.0,18
2020-04-10 15:00:00,2,,41.75,-1.0,4
2020-04-10 15:00:00,4,,8.0,-1.0,1
2020-04-10 15:00:00,45,,9.0,-1.0,1
2020-04-10 15:00:00,67,True,13.0,14.0,1
2020-04-10 15:00:00,68,True,14.0,14.0,1
2020-04-10 15:00:00,103,True,5.0,10.0,2
2020-04-10 15:00:00,104,True,2.5,2.5,2
2020-04-10 15:00:00,107,,26.0,-1.0,1
2020-04-10 15:00:00,107,True,209.6,215.8,5
2020-04-10 15:00:00,110,,213.6,-1.0,5
2020-04-10 15:00:00,144,True,29.0,30.0,1
2020-04-10 15:00:00,145,True,29.0,30.0,1
2020-04-10 15:00:00,149,,729.0,-1.0,1
2020-04-10 16:00:00,0,,179.9375,-1.0,16
2020-04-10 16:00:00,2,,12.75,-1.0,4
2020-04-10 16:00:00,3,,1.0,-1.0,1
2020-04-10 16:00:00,4,,2.5,-1.0,2
2020-04-10 16:00:00,4,True,102.33333333333333,105.0,3
2020-04-10 16:00:00,7,True,7.0,8.0,1
2020-04-10 16:00:00,8,True,7.0,8.0,1
2020-04-10 16:00:00,22,True,14.0,77.0,1
2020-04-10 16:00:00,24,True,14.0,77.0,1
2020-04-10 16:00:00,107,True,31.5,31.5,6
2020-04-10 16:00:00,110,,61.0,-1.0,3
2020-04-10 16:00:00,150,,1.0,-1.0,1
2020-04-10 16:00:00,154,True,7.0,8.0,1
2020-04-10 16:00:00,155,True,7.0,8.0,1
2020-04-10 17:00:00,0,,170.375,-1.0,16
